                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5024,                  8.944,                0.68655,                 11.688,                 3.9019,                 4.2699,                0.00053,                0.02181,                0.00027,                  9e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0082,                 8.8517,                0.57561,                 5.1987,                  3.487,                 3.9387,                 0.0901,                 0.0001,                 0.0001
                      2,                 4.0937,                  8.405,                0.51918,                 5.0233,                 3.0934,                 3.7005,                0.00038,                0.01558,                0.00032,                  5e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5574,                 8.5583,                0.34754,                 4.8014,                 3.0843,                 3.4377,               0.079209,             0.00020896,             0.00020896
                      3,                 3.6532,                 8.0659,                0.41463,                  4.077,                 2.4865,                 3.3614,                0.00402,                0.16511,                0.00243,                0.00076,                  8e-05,                0.00312,                  4e-05,                      0,                      0,                      0,                      0,                      0,                 3.3629,                 8.2946,                0.25623,                 6.5689,                 3.0767,                 3.2708,               0.068317,             0.00031683,             0.00031683
                      4,                 3.5506,                 7.8446,                0.41649,                 3.3629,                 2.3163,                 3.1479,                0.01189,                 0.4891,                0.00931,                0.00277,                0.00015,                0.00623,                  8e-05,                  1e-05,                      0,                      0,                      0,                      0,                 3.1548,                  8.128,                0.26354,                 6.8923,                 3.3494,                 2.9406,               0.057424,             0.00042361,             0.00042361
                      5,                 3.4313,                   7.52,                0.41439,                 2.8279,                 2.0519,                 2.9289,                0.00667,                0.27414,                0.00504,                0.00129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.041,                 8.0986,                0.24159,                 7.6927,                 3.4079,                 2.8095,               0.046529,             0.00052931,             0.00052931
                      6,                 3.2331,                 7.3267,                0.36581,                 2.6122,                 1.9646,                 2.7749,                0.00583,                0.23988,                0.02314,                0.00607,                  8e-05,                0.00312,                  4e-05,                      0,                      0,                      0,                      0,                      0,                 2.9886,                 8.0716,                0.23023,                 8.3996,                 3.5949,                 2.7519,               0.035634,             0.00063391,             0.00063391
                      7,                 3.1258,                 7.3095,                0.37775,                 2.5087,                 1.9324,                 2.6755,                0.00652,                0.26791,                 0.0326,                0.00661,                0.00015,                0.00623,                  9e-05,                  1e-05,                      0,                      0,                      0,                      0,                 2.9609,                  8.037,                0.22274,                 10.012,                  3.548,                 2.7182,               0.024737,             0.00073743,             0.00073743
                      8,                 2.9871,                 7.0682,                0.37845,                 2.3642,                 1.9237,                 2.6202,                0.61905,                 0.0405,                0.32716,                0.08977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9968,                 8.0345,                0.21975,                 9.1153,                 3.9249,                 2.8053,                0.01384,             0.00083985,             0.00083985
                      9,                  2.858,                 6.9934,                0.38849,                 2.3076,                 1.9227,                  2.542,                0.66667,                0.01246,                0.33748,                 0.0675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9613,                 8.0456,                0.22233,                 7.1821,                 3.9375,                 2.7806,              0.0029412,             0.00094119,             0.00094119
                     10,                 2.7402,                 6.7534,                0.38494,                 2.1835,                 1.8393,                 2.4719,                0.18197,                0.33333,                 0.2025,                0.06015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8946,                 7.9726,                0.21428,                 3.8464,                 3.6521,                 2.7151,             0.00095545,             0.00095545,             0.00095545
                     11,                  2.668,                 6.5788,                0.36575,                 2.1992,                 1.8018,                 2.4042,                0.04709,                 0.6947,                0.15493,                0.04242,                0.00063,                0.00935,                0.00032,                  3e-05,                0.03906,                0.57632,                0.20742,                0.05339,                 2.7568,                 7.6822,                0.20703,                 2.7152,                 3.2154,                 2.6305,             0.00095545,             0.00095545,             0.00095545
                     12,                 2.6579,                 6.5447,                0.35806,                 2.1215,                 1.8039,                 2.3635,                0.06115,                0.38318,                0.04744,                0.01199,                0.02682,                0.09034,                0.00899,                0.00122,                0.10814,                0.37383,                0.11196,                 0.0331,                  3.192,                 6.9788,                0.18897,                 2.2349,                 2.2983,                 2.7802,              0.0009505,              0.0009505,              0.0009505
